 
Entrenada el ,Inicio de datos,fin de datos ,Festivos,Tendencia,Suavizado,Tipo de red ,Función de entrenamiento  ,Función de aprendizaje  ,Numero de capas  ,Neuronas por capa 1,Neuronas por capa 2,Neuronas por capa 3,Neuronas por capa 4,Neuronas por capa 5,Función de transferencia usada,MAD en entrenamiento,MSE en entrenamiento,MAPE en entrenamiento (,Cantidad de épocas empleadas ,MAD en validación,MSE en validación ,MAPE en validación (,Cantidad de épocas empleadas ,
18-Jan-2004 10:29:24,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,1,1,0,0,0,0,logsig,3801.931,4287.7762,2.4769,200,13858.3217,16565.966,10.9071,200,
18-Jan-2004 10:48:56,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,1,15,0,0,0,logsig,5285.6139,5750.073,3.5045,200,18599.6631,20909.8772,14.4312,200,
18-Jan-2004 10:49:33,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,2,1,0,0,0,logsig,2587.2734,2897.6212,1.7284,200,12831.3953,15540.0802,10.0661,200,
18-Jan-2004 10:50:09,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,2,2,0,0,0,logsig,2715.7651,3032.1166,1.7828,200,17263.0304,19824.3494,13.5271,200,
18-Jan-2004 10:50:48,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,2,3,0,0,0,logsig,4371.2955,4955.7302,2.93,200,18431.9257,20963.8488,14.3774,200,
18-Jan-2004 10:51:28,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,2,4,0,0,0,logsig,3131.6529,3417.4139,2.0561,200,14825.2042,17408.8346,11.6195,200,
18-Jan-2004 10:52:09,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,2,5,0,0,0,logsig,4049.2772,4385.2467,2.6983,200,16722.6289,19198.5399,13.0618,200,
18-Jan-2004 10:52:51,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,2,6,0,0,0,logsig,2780.9048,3214.8684,1.85,200,14201.3383,16744.0824,11.1208,200,
18-Jan-2004 10:53:34,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,2,7,0,0,0,logsig,2557.5479,2821.2983,1.7036,200,14598.6797,17190.2663,11.4559,200,
18-Jan-2004 10:54:18,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,2,8,0,0,0,logsig,4094.0299,4436.629,2.6944,200,18059.9159,20414.0549,14.0455,200,
18-Jan-2004 10:55:04,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,2,9,0,0,0,logsig,2399.9727,2659.6849,1.6096,200,14182.1142,16697.8544,11.1279,200,
18-Jan-2004 10:55:53,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,2,10,0,0,0,logsig,2237.7496,2566.072,1.4897,200,13480.9641,16022.6434,10.5774,200,
18-Jan-2004 10:56:43,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,2,11,0,0,0,logsig,2473.1554,2690.0396,1.6462,200,15098.7952,17661.3561,11.8113,200,
18-Jan-2004 10:57:32,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,2,12,0,0,0,logsig,2424.3294,2762.1245,1.6365,200,13386.0892,16146.5212,10.5198,200,
18-Jan-2004 10:58:25,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,2,13,0,0,0,logsig,2879.1061,3362.2949,1.8944,200,16420.2594,18874.5432,12.8423,200,
18-Jan-2004 10:59:19,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,2,14,0,0,0,logsig,2353.6841,2579.4064,1.5491,200,14295.947,16726.9255,11.1521,200,
18-Jan-2004 11:00:14,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,2,15,0,0,0,logsig,4383.1198,4631.8785,2.9301,200,15711.6651,18414.0687,12.3591,200,
18-Jan-2004 11:00:50,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,3,1,0,0,0,logsig,2424.3277,2708.0702,1.6045,200,12064.8165,14894.2644,9.5105,200,
18-Jan-2004 11:01:28,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,3,2,0,0,0,logsig,3132.3617,3697.396,2.0384,200,17733.0122,20177.9492,13.8181,200,
18-Jan-2004 11:02:07,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,3,3,0,0,0,logsig,3937.3916,4121.1788,2.588,200,17892.3602,20291.0238,13.945,200,
18-Jan-2004 11:02:50,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,3,4,0,0,0,logsig,2460.67,2797.1291,1.6534,200,14462.8936,17027.3445,11.2727,200,
18-Jan-2004 11:03:33,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,3,5,0,0,0,logsig,3148.2963,3759.9946,2.0952,200,12038.0003,14872.3044,9.4889,200,
18-Jan-2004 11:04:17,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,3,6,0,0,0,logsig,2335.4224,2544.4743,1.565,200,12879.9904,15711.874,10.1099,200,
18-Jan-2004 11:05:03,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,3,7,0,0,0,logsig,3298.1588,3621.8881,2.184,200,15512.5127,17977.4453,12.1302,200,
18-Jan-2004 11:05:50,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,3,8,0,0,0,logsig,3578.6508,4034.3071,2.4003,200,15517.0591,18026.0081,12.1399,200,
18-Jan-2004 11:06:41,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,3,9,0,0,0,logsig,2564.8841,2910.8139,1.6967,200,16390.7038,18852.1908,12.8203,200,
18-Jan-2004 11:07:30,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,3,10,0,0,0,logsig,2506.6016,2796.9518,1.6681,200,15644.5017,18220.2842,12.2714,200,
18-Jan-2004 11:08:20,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,3,11,0,0,0,logsig,2467.1696,2654.7091,1.6452,200,14005.5154,16553.9875,10.9703,200,
18-Jan-2004 11:09:12,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,3,12,0,0,0,logsig,2178.9695,2472.3787,1.4448,200,14920.6377,17432.5757,11.6709,200,
18-Jan-2004 11:10:06,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,3,13,0,0,0,logsig,2350.4221,2562.9832,1.5602,200,15529.5771,18069.6468,12.1489,200,
18-Jan-2004 11:10:59,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,3,14,0,0,0,logsig,4033.1314,4393.5472,2.6926,200,16504.2163,19003.1385,12.9142,200,
18-Jan-2004 11:11:57,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,3,15,0,0,0,logsig,2725.1284,3072.0399,1.7892,200,17112.3437,19495.9813,13.2848,200,
18-Jan-2004 11:12:37,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,4,1,0,0,0,logsig,2897.1424,3286.0281,1.9056,200,17606.6552,20111.2157,13.7335,200,
18-Jan-2004 11:13:18,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,4,2,0,0,0,logsig,2658.0175,2978.1525,1.7629,200,15527.9125,18074.145,12.1644,200,
18-Jan-2004 11:13:59,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,4,3,0,0,0,logsig,2942.341,3359.4123,1.9421,200,14954.1658,17615.3883,11.7569,200,
18-Jan-2004 11:14:40,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,4,4,0,0,0,logsig,3346.9181,3645.7762,2.194,200,15113.5992,17661.3233,11.8172,200,
18-Jan-2004 11:15:19,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,4,5,0,0,0,logsig,3319.1414,3635.6491,2.2015,200,15641.7896,18168.3661,12.2567,200,
18-Jan-2004 11:15:59,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,4,6,0,0,0,logsig,2648.4654,3134.7375,1.7356,200,19377.0496,21723.2066,15.0329,200,
18-Jan-2004 11:16:40,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,4,7,0,0,0,logsig,2454.8014,2862.4117,1.6399,200,14938.0413,17629.0123,11.7291,200,
18-Jan-2004 11:17:23,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,4,8,0,0,0,logsig,2317.2671,2568.5039,1.5502,200,16163.3006,18599.1377,12.5943,200,
18-Jan-2004 11:18:06,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,4,9,0,0,0,logsig,3085.5245,3457.9086,2.0453,200,13603.8617,16315.2099,10.6955,200,
18-Jan-2004 11:18:50,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,4,10,0,0,0,logsig,2658.9497,2967.7089,1.7434,200,15831.1654,18272.3324,12.3816,200,
18-Jan-2004 11:19:36,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,4,11,0,0,0,logsig,3025.4769,3366.4933,1.9869,200,16378.4607,18798.9841,12.8007,200,
18-Jan-2004 11:20:23,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,4,12,0,0,0,logsig,2466.3914,2849.9107,1.6738,200,11954.3794,14967.0827,9.4038,200,
18-Jan-2004 11:21:11,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,4,13,0,0,0,logsig,2781.7211,3174.845,1.8343,200,16636.6021,19136.0237,13.03,200,
18-Jan-2004 11:22:01,25092000,3092000,Si,Logaritmica,Exponencial,newcf,traingdm,learngdm,2,4,14,0,0,0,logsig,2365.622,2645.8555,1.5641,200,16892.2888,19329.3047,13.1809,200,
